REF_DATE,GEO,Violations and calls for service,VALUE
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, domestic disturbances / disputes",210
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, Mental Health Act (MHA) apprehension",268
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, mental health - other",4
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, suicide/attempted suicide",6
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, overdose",
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, child welfare check",
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, check welfare - general",188
20-Aug,Royal Newfoundland Constabulary [10C01],"Calls for service, child custody matter - domestic",
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Total assaults (levels 1, 2, 3) [141]",8
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Assaults by non-family (levels 1, 2, 3)",4
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Assaults by family (levels 1, 2, 3)",4
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Assaults where relationship type is unknown,0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Total sexual assaults (levels 1, 2, 3) [131]",2
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Sexual assaults by non-family (levels 1, 2, 3)",2
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Sexual assaults by family (levels 1, 2, 3)",0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Sexual assaults where relationship type is unknown,0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Assault against peace or public officer (level 1) [1460],1
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats [1627],2
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats by non-family,2
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats by family,0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Uttering threats where relationship type is unknown,0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Total robbery [160],0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Dangerous operation, causing death or bodily harm [911]",0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Impaired driving, causing death or bodily harm [921]",0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Total breaking and entering [210],4
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Breaking and entering, non-residential",1
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Breaking and entering, residential",3
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Breaking and entering where location type is unknown,0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Motor vehicle theft [2135],3
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Shoplifting [213],3
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Fraud/identity theft/identity fraud [216],4
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Fail to comply with order [3410],2
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Impaired driving, operating while impaired [923]",6
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]",Provincial/Territorial acts related to COVID-19,0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, domestic disturbances / disputes",10
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, Mental Health Act (MHA) apprehension",
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, mental health - other",9
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, suicide/attempted suicide",0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, overdose",0
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, child welfare check",
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, check welfare - general",
20-Aug,"Kennebecasis Region, New Brunswick, municipal [13024]","Calls for service, child custody matter - domestic",3
20-Aug,"Montréal, Quebec, municipal [24175]","Total assaults (levels 1, 2, 3) [141]",891
20-Aug,"Montréal, Quebec, municipal [24175]","Assaults by non-family (levels 1, 2, 3)",641
20-Aug,"Montréal, Quebec, municipal [24175]","Assaults by family (levels 1, 2, 3)",250
20-Aug,"Montréal, Quebec, municipal [24175]",Assaults where relationship type is unknown,0
20-Aug,"Montréal, Quebec, municipal [24175]","Total sexual assaults (levels 1, 2, 3) [131]",85
20-Aug,"Montréal, Quebec, municipal [24175]","Sexual assaults by non-family (levels 1, 2, 3)",68
20-Aug,"Montréal, Quebec, municipal [24175]","Sexual assaults by family (levels 1, 2, 3)",17
20-Aug,"Montréal, Quebec, municipal [24175]",Sexual assaults where relationship type is unknown,0
20-Aug,"Montréal, Quebec, municipal [24175]",Assault against peace or public officer (level 1) [1460],33
20-Aug,"Montréal, Quebec, municipal [24175]",Uttering threats [1627],257
20-Aug,"Montréal, Quebec, municipal [24175]",Uttering threats by non-family,197
20-Aug,"Montréal, Quebec, municipal [24175]",Uttering threats by family,60
20-Aug,"Montréal, Quebec, municipal [24175]",Uttering threats where relationship type is unknown,0
20-Aug,"Montréal, Quebec, municipal [24175]",Total robbery [160],134
20-Aug,"Montréal, Quebec, municipal [24175]","Dangerous operation, causing death or bodily harm [911]",0
20-Aug,"Montréal, Quebec, municipal [24175]","Impaired driving, causing death or bodily harm [921]",0
20-Aug,"Montréal, Quebec, municipal [24175]",Total breaking and entering [210],502
20-Aug,"Montréal, Quebec, municipal [24175]","Breaking and entering, non-residential",182
20-Aug,"Montréal, Quebec, municipal [24175]","Breaking and entering, residential",320
20-Aug,"Montréal, Quebec, municipal [24175]",Breaking and entering where location type is unknown,0
20-Aug,"Montréal, Quebec, municipal [24175]",Motor vehicle theft [2135],943
20-Aug,"Montréal, Quebec, municipal [24175]",Shoplifting [213],214
20-Aug,"Montréal, Quebec, municipal [24175]",Fraud/identity theft/identity fraud [216],801
20-Aug,"Montréal, Quebec, municipal [24175]",Fail to comply with order [3410],248
20-Aug,"Montréal, Quebec, municipal [24175]","Impaired driving, operating while impaired [923]",125
20-Aug,"Montréal, Quebec, municipal [24175]",Provincial/Territorial acts related to COVID-19,
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, domestic disturbances / disputes",
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, Mental Health Act (MHA) apprehension",
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, mental health - other",
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, suicide/attempted suicide",
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, overdose",
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, child welfare check",
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, check welfare - general",
20-Aug,"Montréal, Quebec, municipal [24175]","Calls for service, child custody matter - domestic",
20-Aug,Quebec Provincial Police [24C01],"Total assaults (levels 1, 2, 3) [141]",830
20-Aug,Quebec Provincial Police [24C01],"Assaults by non-family (levels 1, 2, 3)",361
20-Aug,Quebec Provincial Police [24C01],"Assaults by family (levels 1, 2, 3)",469
20-Aug,Quebec Provincial Police [24C01],Assaults where relationship type is unknown,0
20-Aug,Quebec Provincial Police [24C01],"Total sexual assaults (levels 1, 2, 3) [131]",120
20-Aug,Quebec Provincial Police [24C01],"Sexual assaults by non-family (levels 1, 2, 3)",79
20-Aug,Quebec Provincial Police [24C01],"Sexual assaults by family (levels 1, 2, 3)",41
20-Aug,Quebec Provincial Police [24C01],Sexual assaults where relationship type is unknown,0
20-Aug,Quebec Provincial Police [24C01],Assault against peace or public officer (level 1) [1460],46
20-Aug,Quebec Provincial Police [24C01],Uttering threats [1627],346
20-Aug,Quebec Provincial Police [24C01],Uttering threats by non-family,237
20-Aug,Quebec Provincial Police [24C01],Uttering threats by family,109
20-Aug,Quebec Provincial Police [24C01],Uttering threats where relationship type is unknown,0
20-Aug,Quebec Provincial Police [24C01],Total robbery [160],15
20-Aug,Quebec Provincial Police [24C01],"Dangerous operation, causing death or bodily harm [911]",3
20-Aug,Quebec Provincial Police [24C01],"Impaired driving, causing death or bodily harm [921]",5
20-Aug,Quebec Provincial Police [24C01],Total breaking and entering [210],328
20-Aug,Quebec Provincial Police [24C01],"Breaking and entering, non-residential",169
20-Aug,Quebec Provincial Police [24C01],"Breaking and entering, residential",159
20-Aug,Quebec Provincial Police [24C01],Breaking and entering where location type is unknown,0
20-Aug,Quebec Provincial Police [24C01],Motor vehicle theft [2135],317
20-Aug,Quebec Provincial Police [24C01],Shoplifting [213],33
20-Aug,Quebec Provincial Police [24C01],Fraud/identity theft/identity fraud [216],527
20-Aug,Quebec Provincial Police [24C01],Fail to comply with order [3410],278
20-Aug,Quebec Provincial Police [24C01],"Impaired driving, operating while impaired [923]",262
20-Aug,Quebec Provincial Police [24C01],Provincial/Territorial acts related to COVID-19,
20-Aug,Quebec Provincial Police [24C01],"Calls for service, domestic disturbances / disputes",
20-Aug,Quebec Provincial Police [24C01],"Calls for service, Mental Health Act (MHA) apprehension",
20-Aug,Quebec Provincial Police [24C01],"Calls for service, mental health - other",
20-Aug,Quebec Provincial Police [24C01],"Calls for service, suicide/attempted suicide",
20-Aug,Quebec Provincial Police [24C01],"Calls for service, overdose",
20-Aug,Quebec Provincial Police [24C01],"Calls for service, child welfare check",
20-Aug,Quebec Provincial Police [24C01],"Calls for service, check welfare - general",
20-Aug,Quebec Provincial Police [24C01],"Calls for service, child custody matter - domestic",
20-Aug,"Ottawa, Ontario, municipal [35010]","Total assaults (levels 1, 2, 3) [141]",285
20-Aug,"Ottawa, Ontario, municipal [35010]","Assaults by non-family (levels 1, 2, 3)",192
20-Aug,"Ottawa, Ontario, municipal [35010]","Assaults by family (levels 1, 2, 3)",93
20-Aug,"Ottawa, Ontario, municipal [35010]",Assaults where relationship type is unknown,0
20-Aug,"Ottawa, Ontario, municipal [35010]","Total sexual assaults (levels 1, 2, 3) [131]",68
20-Aug,"Ottawa, Ontario, municipal [35010]","Sexual assaults by non-family (levels 1, 2, 3)",55
20-Aug,"Ottawa, Ontario, municipal [35010]","Sexual assaults by family (levels 1, 2, 3)",13
20-Aug,"Ottawa, Ontario, municipal [35010]",Sexual assaults where relationship type is unknown,0
20-Aug,"Ottawa, Ontario, municipal [35010]",Assault against peace or public officer (level 1) [1460],12
20-Aug,"Ottawa, Ontario, municipal [35010]",Uttering threats [1627],114
20-Aug,"Ottawa, Ontario, municipal [35010]",Uttering threats by non-family,108
20-Aug,"Ottawa, Ontario, municipal [35010]",Uttering threats by family,6
20-Aug,"Ottawa, Ontario, municipal [35010]",Uttering threats where relationship type is unknown,0
20-Aug,"Ottawa, Ontario, municipal [35010]",Total robbery [160],36
20-Aug,"Ottawa, Ontario, municipal [35010]","Dangerous operation, causing death or bodily harm [911]",0
20-Aug,"Ottawa, Ontario, municipal [35010]","Impaired driving, causing death or bodily harm [921]",1
20-Aug,"Ottawa, Ontario, municipal [35010]",Total breaking and entering [210],242
20-Aug,"Ottawa, Ontario, municipal [35010]","Breaking and entering, non-residential",102
20-Aug,"Ottawa, Ontario, municipal [35010]","Breaking and entering, residential",140
20-Aug,"Ottawa, Ontario, municipal [35010]",Breaking and entering where location type is unknown,0
20-Aug,"Ottawa, Ontario, municipal [35010]",Motor vehicle theft [2135],59
20-Aug,"Ottawa, Ontario, municipal [35010]",Shoplifting [213],232
20-Aug,"Ottawa, Ontario, municipal [35010]",Fraud/identity theft/identity fraud [216],552
20-Aug,"Ottawa, Ontario, municipal [35010]",Fail to comply with order [3410],267
20-Aug,"Ottawa, Ontario, municipal [35010]","Impaired driving, operating while impaired [923]",52
20-Aug,"Ottawa, Ontario, municipal [35010]",Provincial/Territorial acts related to COVID-19,0
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, domestic disturbances / disputes",485
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, Mental Health Act (MHA) apprehension",162
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, mental health - other",229
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, suicide/attempted suicide",9
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, overdose",41
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, child welfare check",
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, check welfare - general",
20-Aug,"Ottawa, Ontario, municipal [35010]","Calls for service, child custody matter - domestic",16
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Total assaults (levels 1, 2, 3) [141]",106
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Assaults by non-family (levels 1, 2, 3)",
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Assaults by family (levels 1, 2, 3)",
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Assaults where relationship type is unknown,106
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Total sexual assaults (levels 1, 2, 3) [131]",17
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Sexual assaults by non-family (levels 1, 2, 3)",
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Sexual assaults by family (levels 1, 2, 3)",
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Sexual assaults where relationship type is unknown,17
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Assault against peace or public officer (level 1) [1460],6
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats [1627],21
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats by non-family,
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats by family,
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Uttering threats where relationship type is unknown,21
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Total robbery [160],7
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Dangerous operation, causing death or bodily harm [911]",0
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Impaired driving, causing death or bodily harm [921]",0
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Total breaking and entering [210],51
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Breaking and entering, non-residential",
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Breaking and entering, residential",
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Breaking and entering where location type is unknown,51
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Motor vehicle theft [2135],54
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Shoplifting [213],82
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Fraud/identity theft/identity fraud [216],43
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Fail to comply with order [3410],27
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Impaired driving, operating while impaired [923]",47
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]",Provincial/Territorial acts related to COVID-19,0
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, domestic disturbances / disputes",312
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, Mental Health Act (MHA) apprehension",128
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, mental health - other",144
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, suicide/attempted suicide",44
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, overdose",26
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, child welfare check",4
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, check welfare - general",107
20-Aug,"Halton Region (Oakville/Burlington), Ontario, municipal [35048]","Calls for service, child custody matter - domestic",9
20-Aug,"London, Ontario, municipal [35162]","Total assaults (levels 1, 2, 3) [141]",213
20-Aug,"London, Ontario, municipal [35162]","Assaults by non-family (levels 1, 2, 3)",149
20-Aug,"London, Ontario, municipal [35162]","Assaults by family (levels 1, 2, 3)",64
20-Aug,"London, Ontario, municipal [35162]",Assaults where relationship type is unknown,0
20-Aug,"London, Ontario, municipal [35162]","Total sexual assaults (levels 1, 2, 3) [131]",42
20-Aug,"London, Ontario, municipal [35162]","Sexual assaults by non-family (levels 1, 2, 3)",38
20-Aug,"London, Ontario, municipal [35162]","Sexual assaults by family (levels 1, 2, 3)",4
20-Aug,"London, Ontario, municipal [35162]",Sexual assaults where relationship type is unknown,0
20-Aug,"London, Ontario, municipal [35162]",Assault against peace or public officer (level 1) [1460],2
20-Aug,"London, Ontario, municipal [35162]",Uttering threats [1627],55
20-Aug,"London, Ontario, municipal [35162]",Uttering threats by non-family,40
20-Aug,"London, Ontario, municipal [35162]",Uttering threats by family,15
20-Aug,"London, Ontario, municipal [35162]",Uttering threats where relationship type is unknown,0
20-Aug,"London, Ontario, municipal [35162]",Total robbery [160],14
20-Aug,"London, Ontario, municipal [35162]","Dangerous operation, causing death or bodily harm [911]",1
20-Aug,"London, Ontario, municipal [35162]","Impaired driving, causing death or bodily harm [921]",0
20-Aug,"London, Ontario, municipal [35162]",Total breaking and entering [210],210
20-Aug,"London, Ontario, municipal [35162]","Breaking and entering, non-residential",88
20-Aug,"London, Ontario, municipal [35162]","Breaking and entering, residential",122
20-Aug,"London, Ontario, municipal [35162]",Breaking and entering where location type is unknown,0
20-Aug,"London, Ontario, municipal [35162]",Motor vehicle theft [2135],123
20-Aug,"London, Ontario, municipal [35162]",Shoplifting [213],57
20-Aug,"London, Ontario, municipal [35162]",Fraud/identity theft/identity fraud [216],196
20-Aug,"London, Ontario, municipal [35162]",Fail to comply with order [3410],152
20-Aug,"London, Ontario, municipal [35162]","Impaired driving, operating while impaired [923]",16
20-Aug,"London, Ontario, municipal [35162]",Provincial/Territorial acts related to COVID-19,
20-Aug,"London, Ontario, municipal [35162]","Calls for service, domestic disturbances / disputes",770
20-Aug,"London, Ontario, municipal [35162]","Calls for service, Mental Health Act (MHA) apprehension",146
20-Aug,"London, Ontario, municipal [35162]","Calls for service, mental health - other",
20-Aug,"London, Ontario, municipal [35162]","Calls for service, suicide/attempted suicide",
20-Aug,"London, Ontario, municipal [35162]","Calls for service, overdose",
20-Aug,"London, Ontario, municipal [35162]","Calls for service, child welfare check",
20-Aug,"London, Ontario, municipal [35162]","Calls for service, check welfare - general",1108
20-Aug,"London, Ontario, municipal [35162]","Calls for service, child custody matter - domestic",
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Total assaults (levels 1, 2, 3) [141]",418
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Assaults by non-family (levels 1, 2, 3)",279
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Assaults by family (levels 1, 2, 3)",139
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Assaults where relationship type is unknown,0
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Total sexual assaults (levels 1, 2, 3) [131]",44
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Sexual assaults by non-family (levels 1, 2, 3)",37
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Sexual assaults by family (levels 1, 2, 3)",7
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Sexual assaults where relationship type is unknown,0
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Assault against peace or public officer (level 1) [1460],4
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats [1627],125
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats by non-family,109
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats by family,16
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Uttering threats where relationship type is unknown,0
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Total robbery [160],13
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Dangerous operation, causing death or bodily harm [911]",3
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Impaired driving, causing death or bodily harm [921]",0
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Total breaking and entering [210],184
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Breaking and entering, non-residential",126
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Breaking and entering, residential",58
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Breaking and entering where location type is unknown,0
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Motor vehicle theft [2135],85
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Shoplifting [213],124
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Fraud/identity theft/identity fraud [216],408
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Fail to comply with order [3410],266
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Impaired driving, operating while impaired [923]",39
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]",Provincial/Territorial acts related to COVID-19,9
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, domestic disturbances / disputes",570
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, Mental Health Act (MHA) apprehension",96
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, mental health - other",152
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, suicide/attempted suicide",161
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, overdose",59
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, child welfare check",
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, check welfare - general",622
20-Aug,"Waterloo Region (Kitchener), Ontario, municipal [35291]","Calls for service, child custody matter - domestic",25
20-Aug,"Toronto, Ontario, municipal [35304]","Total assaults (levels 1, 2, 3) [141]",1394
20-Aug,"Toronto, Ontario, municipal [35304]","Assaults by non-family (levels 1, 2, 3)",
20-Aug,"Toronto, Ontario, municipal [35304]","Assaults by family (levels 1, 2, 3)",
20-Aug,"Toronto, Ontario, municipal [35304]",Assaults where relationship type is unknown,1394
20-Aug,"Toronto, Ontario, municipal [35304]","Total sexual assaults (levels 1, 2, 3) [131]",176
20-Aug,"Toronto, Ontario, municipal [35304]","Sexual assaults by non-family (levels 1, 2, 3)",
20-Aug,"Toronto, Ontario, municipal [35304]","Sexual assaults by family (levels 1, 2, 3)",
20-Aug,"Toronto, Ontario, municipal [35304]",Sexual assaults where relationship type is unknown,176
20-Aug,"Toronto, Ontario, municipal [35304]",Assault against peace or public officer (level 1) [1460],60
20-Aug,"Toronto, Ontario, municipal [35304]",Uttering threats [1627],451
20-Aug,"Toronto, Ontario, municipal [35304]",Uttering threats by non-family,
