"Real-time Local Business Condition Index (RTLBCI)"
"Frequency: Weekly"
"Table: 33-10-0398-01"
"Release date: 2023-04-28"
"Geography: Population centre"
""
""

"Geography","August 10, 2020","August 17, 2020","August 24, 2020","August 31, 2020","September 7, 2020","September 14, 2020","September 21, 2020","September 28, 2020","October 5, 2020","October 12, 2020","October 19, 2020","October 26, 2020","November 2, 2020","November 9, 2020","November 16, 2020","November 23, 2020","November 30, 2020","December 7, 2020","December 14, 2020","December 21, 2020","December 28, 2020","January 4, 2021","January 11, 2021","January 18, 2021","January 25, 2021","February 1, 2021","February 8, 2021","February 15, 2021","February 22, 2021","March 1, 2021","March 8, 2021","March 15, 2021","March 22, 2021","March 29, 2021","April 5, 2021","April 12, 2021","April 19, 2021","April 26, 2021","May 3, 2021","May 10, 2021","May 17, 2021","May 24, 2021","May 31, 2021","June 7, 2021","June 14, 2021","June 21, 2021","June 28, 2021","July 5, 2021","July 12, 2021","July 19, 2021","July 26, 2021","August 2, 2021","August 9, 2021","August 16, 2021","August 23, 2021","August 30, 2021","September 6, 2021","September 13, 2021","September 20, 2021","September 27, 2021","October 4, 2021","October 11, 2021","October 18, 2021","October 25, 2021","November 1, 2021","November 8, 2021","November 15, 2021","November 22, 2021","November 29, 2021","December 6, 2021","December 13, 2021","December 20, 2021","December 27, 2021","January 3, 2022","January 10, 2022","January 17, 2022","January 24, 2022","January 31, 2022","February 7, 2022","February 14, 2022","February 21, 2022","February 28, 2022","March 7, 2022","March 14, 2022","March 21, 2022","March 28, 2022","April 4, 2022","April 11, 2022","April 18, 2022","April 25, 2022","May 2, 2022","May 9, 2022","May 16, 2022","May 23, 2022","May 30, 2022","June 6, 2022","June 13, 2022","June 20, 2022","June 27, 2022","July 4, 2022","July 11, 2022","July 18, 2022","July 25, 2022","August 1, 2022","August 8, 2022","August 15, 2022","August 22, 2022","August 29, 2022","September 5, 2022","September 12, 2022","September 19, 2022","September 26, 2022","October 3, 2022","October 10, 2022","October 17, 2022","October 24, 2022","October 31, 2022","November 7, 2022","November 14, 2022","November 21, 2022","November 28, 2022","December 5, 2022","December 12, 2022","December 19, 2022","December 26, 2022","January 2, 2023","January 9, 2023","January 16, 2023","January 23, 2023","January 30, 2023","February 6, 2023","February 13, 2023","February 20, 2023","February 27, 2023","March 6, 2023","March 13, 2023","March 20, 2023","March 27, 2023","April 3, 2023","April 10, 2023","April 17, 2023"
"Kitchener, Ontario (0419) 1","100.00","102.39","102.29","96.18","102.04","96.03","96.40","95.90","113.46","122.71","112.67","139.51","132.17","152.71","206.02","191.89","160.63","147.74","157.46","168.71","172.82","168.58","155.74","141.61","139.16","146.34","145.82","145.07","137.51","179.73","164.74","165.83","195.83","189.82","199.49","184.58","179.13","161.91","160.86","164.37","162.46","160.72","187.72","189.28","177.81","199.28","171.41","180.08","182.76","145.24","131.58","160.48","161.56","164.69","167.11","173.81","179.90","183.53","205.46","187.75","241.50","236.47","234.71","238.03","232.06","198.33","221.26","274.58","272.27","251.12","211.77","238.86","225.30","261.57","210.71","204.01","199.53","213.43","219.64","219.13","204.97","258.18","251.06","236.29","302.26","287.02","307.30","260.12","209.32","233.76","253.49","239.39","206.56","245.94","259.66","260.48","251.55","262.24","270.42","271.41","257.91","279.93","246.82","264.24","278.46","279.36","270.58","266.11","259.97","228.77","236.52","233.35","258.70","288.55","284.74","278.87","364.70","291.82","297.33","366.49","370.02","324.98","272.76","305.48","276.80","357.12","325.85","333.31","329.99","313.82","330.41","311.41","312.39","342.64","314.68","316.73","388.19","399.72","427.53","388.47","415.94"
"St. Catharines - Niagara Falls, Ontario (0788) 1","100.00","101.99","107.97","102.55","103.14","104.61","103.30","121.17","132.70","131.48","138.59","148.20","131.19","176.72","187.08","192.11","202.44","183.17","193.24","202.52","232.42","214.02","227.66","175.02","197.17","183.72","148.22","213.80","194.42","257.67","249.17","225.14","286.74","276.36","246.21","205.87","206.78","201.03","193.77","200.58","188.36","192.10","196.03","200.60","238.02","205.86","190.25","183.04","211.10","207.34","206.90","210.59","202.41","223.98","238.53","238.66","247.47","221.31","240.90","216.20","206.15","219.90","225.00","234.37","245.51","216.76","245.60","257.18","266.47","263.70","248.49","249.90","223.55","280.44","279.36","222.14","214.58","240.00","188.59","287.34","286.08","326.12","291.45","276.70","354.49","333.11","324.28","280.92","262.79","285.18","258.89","251.69","238.50","236.65","245.83","232.54","271.27","233.73","209.53","220.91","223.98","233.93","225.47","231.68","224.26","249.07","263.75","260.71","266.59","256.25","269.55","246.78","231.63","254.68","253.09","279.92","317.85","266.93","298.04","287.50","313.45","320.26","297.11","307.03","260.79","384.35","398.41","335.12","363.30","327.13","271.12","374.04","366.09","386.82","362.93","320.95","434.34","417.34","401.56","326.62","359.92"
"Barrie, Ontario (0043) 1","100.00","105.47","91.52","85.22","86.94","83.28","72.82","89.23","95.46","99.34","92.77","88.05","82.11","117.70","141.28","139.56","157.41","143.57","146.58","150.67","164.89","146.35","140.99","131.80","127.37","135.64","120.99","122.34","128.04","152.65","140.64","146.29","184.69","173.76","168.65","167.49","169.98","154.43","150.51","150.93","152.91","159.87","158.50","201.67","208.20","194.82","188.77","198.22","185.54","208.75","209.20","194.00","214.25","207.71","231.22","194.48","195.34","199.18","209.13","186.38","184.68","194.96","201.78","197.12","197.20","165.91","193.74","221.03","208.98","231.79","221.15","220.95","205.86","241.38","210.76","208.09","199.72","206.66","198.49","198.93","187.84","222.15","218.86","213.76","259.36","233.63","241.53","247.33","252.14","255.64","242.18","229.70","226.08","227.84","225.69","235.32","243.46","232.16","262.40","234.88","199.89","229.21","221.90","222.61","211.11","218.21","240.72","206.39","216.89","234.93","219.95","212.10","207.31","207.22","229.74","218.20","249.02","217.35","244.89","270.71","261.36","288.97","278.61","275.50","257.23","320.15","307.22","308.14","300.37","277.33","257.40","253.87","262.95","280.09","279.31","260.70","332.63","309.07","321.34","320.04","344.20"
"London, Ontario (0480) 1","100.00","104.71","105.12","97.75","91.95","98.32","90.79","105.32","122.42","113.37","130.64","132.80","122.56","151.88","145.47","142.32","148.78","137.82","133.28","136.20","200.83","219.87","193.69","167.25","175.48","176.36","124.77","120.62","109.32","152.50","143.97","137.23","148.92","149.78","146.94","138.70","143.79","146.39","147.34","145.30","148.69","150.13","144.03","147.94","166.16","160.74","162.31","156.32","156.29","153.79","153.82","179.56","164.67","181.39","183.43","189.13","194.90","173.87","181.75","178.93","167.86","186.82","183.55","180.91","193.20","146.52","192.17","185.92","190.14","210.98","187.54","182.62","148.46","256.86","207.96","190.72","197.54","204.22","142.17","144.41","133.74","176.43","171.07","154.48","205.97","203.66","202.82","205.22","210.75","222.81","208.88","196.57","213.35","212.33","200.37","218.38","226.70","206.15","219.49","198.46","198.00","205.30","203.58","212.40","191.51","214.26","234.60","228.08","237.08","218.77","223.76","224.75","210.51","234.56","233.88","240.99","287.64","228.79","278.90","267.44","275.56","278.02","239.66","244.26","209.10","367.16","345.75","351.29","349.72","340.13","222.22","224.28","214.90","246.34","226.94","226.85","258.88","266.83","270.68","258.78","278.07"
"Milton, Ontario (0532) 1","100.00","105.21","111.46","110.77","121.46","113.39","111.34","129.20","142.45","146.25","150.18","142.95","122.66","161.80","178.34","170.88","187.04","173.63","173.84","189.99","190.47","161.80","172.22","148.03","150.15","147.48","172.03","162.14","177.63","219.96","204.71","180.40","239.81","217.08","208.98","199.71","195.47","186.75","166.74","180.03","182.98","179.36","182.88","191.28","198.58","194.31","196.67","188.58","210.03","208.12","203.42","207.43","202.56","229.78","230.01","225.18","244.27","255.11","261.96","243.78","223.27","247.24","242.80","256.85","250.78","225.17","245.70","254.66","240.15","254.93","238.23","241.06","216.34","231.75","223.95","199.06","176.00","199.68","240.09","236.11","231.62","260.63","245.63","218.43","296.17","259.75","266.19","272.26","266.04","284.64","252.27","265.18","263.34","254.21","256.41","266.83","269.53","258.42","257.25","235.64","258.55","258.39","235.77","242.04","238.08","272.94","271.78","273.99","281.95","289.21","287.88","277.11","254.44","282.33","270.69","289.48","317.75","287.43","305.91","315.10","299.80","314.55","292.59","294.47","269.82","306.47","334.95","311.49","314.54","295.85","346.46","320.79","331.42","325.92","305.92","275.84","364.91","344.07","353.81","346.29","380.50"
"Toronto, Ontario (0944) 1","100.00","104.41","106.39","109.65","112.93","109.35","105.25","117.49","122.41","148.77","119.13","116.39","122.88","128.33","140.56","127.69","129.29","129.33","123.92","135.07","148.38","145.33","143.86","129.62","138.63","135.24","118.23","105.21","102.35","132.84","126.95","125.60","159.45","151.00","151.33","143.15","141.54","139.94","141.97","144.62","148.76","150.44","151.24","161.38","169.71","168.56","161.64","170.54","148.26","172.42","174.42","173.43","169.78","177.68","186.13","179.55","185.06","180.49","187.53","173.48","174.41","174.01","210.12","181.05","175.57","182.51","173.58","193.35","175.16","196.96","199.49","188.20","166.81","189.18","168.92","165.28","147.02","167.11","151.98","145.64","155.54","185.80","180.70","167.37","218.72","207.71","208.80","215.98","213.34","220.83","213.89","205.72","212.20","214.15","213.00","228.98","235.18","222.65","219.85","216.83","208.70","215.22","215.42","215.13","213.36","222.13","233.11","226.23","237.97","243.14","218.32","217.77","217.86","225.54","268.72","227.61","250.25","254.67","244.16","255.81","238.23","256.37","262.65","242.34","214.94","275.89","251.42","247.30","262.89","246.57","215.98","197.31","213.67","230.66","207.84","208.22","259.53","253.74","257.39","255.38","258.93"
"Kingston, Ontario (0415) 1","100.00","100.39","102.75","87.64","112.05","104.55","96.02","123.47","140.76","131.49","122.32","144.75","125.88","175.41","188.79","187.70","195.96","190.28","182.81","199.45","207.34","183.04","169.45","138.32","148.59","144.55","196.79","210.67","207.74","259.06","219.18","214.02","266.68","240.67","220.78","199.19","210.50","193.67","188.07","191.28","198.78","201.32","213.32","229.29","246.25","235.21","224.87","206.78","225.16","225.64","235.44","230.81","228.66","244.26","250.63","270.19","279.03","267.53","283.03","251.76","246.39","273.93","254.27","254.06","282.33","248.23","275.36","279.32","277.66","284.23","263.28","244.15","219.76","259.42","222.05","195.63","195.94","208.72","301.66","278.32","284.64","322.45","280.45","289.92","323.09","307.59","309.35","286.03","292.15","290.01","273.97","262.15","265.35","262.30","266.25","278.04","282.67","267.28","277.26","243.08","257.89","254.81","267.93","265.08","252.52","286.59","294.47","315.39","323.04","311.05","325.95","292.30","290.75","325.06","273.76","297.38","376.99","326.74","364.79","351.24","350.49","359.00","339.79","340.66","287.85","357.13","340.59","304.16","316.32","292.74","421.51","376.44","384.89","418.60","359.30","347.64","432.59","401.56","389.24","362.39","405.99"
"Kanata, Ontario (0399) 1","100.00","95.98","104.80","98.61","112.09","106.19","100.90","122.90","134.78","132.41","124.51","133.00","138.83","170.80","184.69","185.64","188.32","192.49","177.88","200.39","189.40","150.83","148.54","134.81","129.28","132.19","163.56","161.57","191.40","221.00","197.29","194.38","257.25","242.98","219.71","212.92","208.25","194.77","171.67","181.10","177.08","189.27","188.06","193.52","220.17","223.61","218.26","204.81","232.11","215.71","211.71","220.09","214.88","247.27","238.68","242.33","273.03","276.89","277.33","238.41","239.82","249.53","245.68","257.56","264.49","249.62","264.13","251.76","263.64","244.77","251.58","241.41","225.50","218.75","195.83","185.70","164.03","188.79","238.19","229.93","242.69","268.29","240.36","250.64","300.41","310.63","286.29","292.24","299.26","324.27","276.09","271.62","258.78","298.77","294.71","272.48","289.49","260.66","257.47","249.40","259.53","246.38","241.14","252.73","243.13","285.63","279.59","287.59","325.19","318.97","302.06","273.90","282.14","289.50","283.58","304.46","346.19","319.51","328.12","331.97","325.33","305.32","319.03","304.84","286.41","317.52","295.73","277.70","286.08","277.07","307.67","308.88","343.91","362.98","306.25","305.49","389.42","374.69","374.02","352.32","402.35"
"Guelph, Ontario (0343) 1","100.00","99.84","110.16","95.79","94.75","103.41","97.18","111.45","129.32","134.56","134.07","130.78","125.94","166.09","174.53","159.94","180.93","159.42","166.58","189.67","224.16","205.83","192.17","147.20","154.95","153.13","149.06","145.88","147.34","205.39","172.80","164.35","209.09","189.05","180.34","175.11","186.91","170.05","171.68","176.26","173.43","179.99","190.30","191.61","200.98","203.03","197.72","196.22","216.73","208.79","217.35","209.05","211.42","224.15","225.23","235.81","238.71","219.87","240.02","222.93","199.49","220.51","230.09","243.76","245.01","188.54","224.31","233.58","218.31","237.55","217.09","220.45","208.10","280.29","239.19","189.22","198.53","209.32","208.16","205.01","195.19","243.47","213.52","214.44","259.34","233.48","237.23","246.04","252.56","261.79","242.06","249.24","241.50","235.08","248.06","248.89","251.23","246.14","238.48","221.95","231.30","227.29","232.26","227.01","224.63","245.98","247.67","262.94","257.31","246.87","265.02","251.55","223.67","247.41","259.53","276.16","311.14","247.83","290.45","289.51","268.28","293.21","272.70","269.26","248.06","369.54","347.70","304.74","312.99","285.12","278.51","265.70","259.73","292.95","260.09","250.68","326.67","300.88","307.14","296.36","337.61"
"Oshawa, Ontario (0614) 1","100.00","94.44","100.71","101.17","106.13","99.37","100.04","121.10","129.97","137.33","138.18","141.58","137.52","163.23","177.80","172.81","184.07","174.63","175.74","192.07","176.43","154.41","160.67","141.16","148.11","149.23","152.20","146.43","159.25","189.28","173.87","160.47","200.03","200.82","179.81","177.53","175.18","171.57","170.49","173.74","168.34","175.23","176.07","180.75","190.26","190.67","188.82","183.59","208.50","192.78","194.93","192.72","184.28","218.92","209.84","218.70","223.71","214.02","218.94","207.33","206.86","208.59","213.12","225.96","220.75","201.34","208.67","221.55","218.39","228.11","214.86","211.58","205.01","196.29","191.38","178.33","161.14","186.80","193.55","191.87","201.66","219.44","206.27","189.74","248.03","242.48","236.52","246.65","239.33","247.00","232.15","220.85","220.08","234.55","232.03","240.93","240.11","230.08","226.95","214.59","221.48","216.25","219.69","214.69","202.38","238.84","233.25","238.49","246.94","259.98","237.38","231.17","238.85","241.44","235.49","255.73","285.94","262.19","271.00","291.06","281.07","297.31","274.73","265.72","250.54","272.76","270.98","256.89","261.31","249.36","260.22","246.31","262.11","268.95","247.47","239.79","304.09","306.32","299.14","289.64","307.70"
